T07	multiples traumatismes non spécifiés
T71.114S	asphyxie due à un étouffement sous un oreiller, intention indéterminée, séquelle
T71.121A	asphyxie due à un sac en plastique, accidentelle, contact initial
T71.121D	asphyxie due à un sac en plastique, accidentelle, contact subséquent
T71.121S	asphyxie due à un sac en plastique, accidentelle, séquelle
T71.122A	asphyxie due à un sac en plastique, auto-infligée, contact initial
T71.122D	asphyxie due à un sac en plastique, auto-infligée, contact subséquent
T71.122S	asphyxie due à un sac en plastique, auto-infligée, séquelle
T71.131A	asphyxie due à un enchevêtrement dans des draps, accidentelle, contact initial
T71.131D	asphyxie due à un enchevêtrement dans des draps, accidentelle, contact subséquent
T71.131S	asphyxie due à un enchevêtrement dans des draps, accidentelle, séquelle
T71.132A	asphyxie due à un enchevêtrement dans des draps, auto-infligée, contact initial
T71.132D	asphyxie due à un enchevêtrement dans des draps, auto-infligée, contact subséquent
T71.132S	asphyxie due à un enchevêtrement dans des draps, auto-infligée, séquelle
T71.133A	asphyxie due à un enchevêtrement dans des draps, agression, contact initial
T71.133D	asphyxie due à un enchevêtrement dans des draps, agression, contact subséquent
T71.133S	asphyxie due à un enchevêtrement dans des draps, agression, séquelle
T71.134A	asphyxie due à un enchevêtrement dans des draps, intention indéterminée, contact initial
T71.134D	asphyxie due à un enchevêtrement dans des draps, intention indéterminée, contact subséquent
T71.134S	asphyxie due à un enchevêtrement dans des draps, intention indéterminée, séquelle
T71.141A	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), accidentelle, contact initial
T71.141D	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), accidentelle, contact subséquent
T71.141S	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), accidentelle, séquelle
T71.143A	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), agression, contact initial
T71.143D	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), agression, contact subséquent
T71.143S	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), agression, séquelle
T71.144A	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), intention indéterminée, contact initial
T71.144D	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), intention indéterminée, contact subséquent
T71.144S	asphyxie due à un étouffement sous le corps d'une autre personne (au lit), intention indéterminée, séquelle
T71.151A	asphyxie due à un étouffement dans du mobilier, accidentelle, contact initial
T71.151D	asphyxie due à un étouffement dans du mobilier, accidentelle, contact subséquent
T71.151S	asphyxie due à un étouffement dans du mobilier, accidentelle, séquelle
T71.152A	asphyxie due à un étouffement dans du mobilier, auto-infligée, contact initial
T71.152D	asphyxie due à un étouffement dans du mobilier, auto-infligée, contact subséquent
T71.152S	asphyxie due à un étouffement dans du mobilier, auto-infligée, séquelle
T71.153A	asphyxie due à un étouffement dans du mobilier, agression, contact initial
T71.153D	asphyxie due à un étouffement dans du mobilier, agression, contact subséquent
T71.153S	asphyxie due à un étouffement dans du mobilier, agression, séquelle
T71.154A	asphyxie due à un étouffement dans du mobilier, intention indéterminée, contact initial
T71.154D	asphyxie due à un étouffement dans du mobilier, intention indéterminée, contact subséquent
T71.154S	asphyxie due à un étouffement dans du mobilier, intention indéterminée, séquelle
T71.161A	asphyxie due à une pendaison, accidentelle, contact initial
T71.161D	asphyxie due à une pendaison, accidentelle, contact subséquent
T71.161S	asphyxie due à une pendaison, accidentelle, séquelle
T71.162A	asphyxie due à une pendaison, auto-infligée, contact initial
T71.162D	asphyxie due à une pendaison, auto-infligée, contact subséquent
T71.162S	asphyxie due à une pendaison, auto-infligée, séquelle
T71.163A	asphyxie due à une pendaison, agression, contact initial
T71.163D	asphyxie due à une pendaison, agression, contact subséquent
T71.163S	asphyxie due à une pendaison, agression, séquelle
T71.164A	asphyxie due à une pendaison, intention indéterminée, contact initial
T71.164D	asphyxie due à une pendaison, intention indéterminée, contact subséquent
T71.164S	asphyxie due à une pendaison, intention indéterminée, séquelle
T71.191A	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, accidentelle, contact initial
T71.191D	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, accidentelle, contact subséquent
T71.191S	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, accidentelle, séquelle
T71.192A	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, auto-infligée, contact initial
T71.192D	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, auto-infligée, contact subséquent
T71.192S	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, auto-infligée, séquelle
T71.193A	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, agression, contact initial
T71.193D	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, agression, contact subséquent
T71.193S	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, agression, séquelle
T71.194A	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, intention indéterminée, contact initial
T71.194D	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, intention indéterminée, contact subséquent
T71.194S	asphyxie due à une gêne mécanique à la respiration, par d'autres causes, intention indéterminée, séquelle
T71.20XA	asphyxie due à une insuffisance d'oxygénation systémique due à une faible teneur en oxygène de l'air ambiant par une cause non spécifiée, contact initial
T71.20XD	asphyxie due à une insuffisance d'oxygénation systémique due à une faible teneur en oxygène de l'air ambiant par une cause non spécifiée, contact subséquent
T71.20XS	asphyxie due à une insuffisance d'oxygénation systémique due à une faible teneur en oxygène de l'air ambiant par une cause non spécifiée, séquelle
T71.21XA	asphyxie due à un effondrement ou une chute de terre, contact initial
T71.21XD	asphyxie due à un effondrement ou une chute de terre, contact subséquent
T71.21XS	asphyxie due à un effondrement ou une chute de terre, séquelle
T71.221A	asphyxie due à un enchevêtrement dans un coffre d'une voiture, accidentelle, contact initial
T71.221D	asphyxie due à un enchevêtrement dans un coffre d'une voiture, accidentelle, contact subséquent
T71.221S	asphyxie due à un enchevêtrement dans un coffre d'une voiture, accidentelle, séquelle
T71.222A	asphyxie due à un enchevêtrement dans un coffre d'une voiture, auto-infligée, contact initial
T71.222D	asphyxie due à un enchevêtrement dans un coffre d'une voiture, auto-infligée, contact subséquent
T71.222S	asphyxie due à un enchevêtrement dans un coffre d'une voiture, auto-infligée, séquelle
T71.223A	asphyxie due à un enchevêtrement dans un coffre d'une voiture, agression, contact initial
T71.223D	asphyxie due à un enchevêtrement dans un coffre d'une voiture, agression, contact subséquent
T71.223S	asphyxie due à un enchevêtrement dans un coffre d'une voiture, agression, séquelle
T71.224A	asphyxie due à un enchevêtrement dans un coffre d'une voiture, intention indéterminée, contact initial
T71.224D	asphyxie due à un enchevêtrement dans un coffre d'une voiture, intention indéterminée, contact subséquent
T71.224S	asphyxie due à un enchevêtrement dans un coffre d'une voiture, intention indéterminée, séquelle
T71.231A	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), accidentelle, contact initial
T71.231D	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), accidentelle, contact subséquent
T71.231S	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), accidentelle, séquelle
T71.232A	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), auto-infligée, contact initial
T71.232D	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), auto-infligée, contact subséquent
T71.232S	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), auto-infligée, séquelle
T71.233A	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), agression, contact initial
T71.233D	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), agression, contact subséquent
T71.233S	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), agression, séquelle
T71.234A	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), intention indéterminée, contact initial
T71.234D	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), intention indéterminée, contact subséquent
T71.234S	asphyxie due à un enchevêtrement dans un réfrigérateur (rebut), intention indéterminée, séquelle
T71.29XA	asphyxie due à un enchevêtrement dans autre environnement à une faible teneur en oxygène, contact initial
T71.29XD	asphyxie due à un enchevêtrement dans autre environnement à une faible teneur en oxygène, contact subséquent
T71.29XS	asphyxie due à un enchevêtrement dans autre environnement à une faible teneur en oxygène, séquelle
T71.9XXA	asphyxie due à une cause non spécifiée, contact initial
T71.9XXD	asphyxie due à une cause non spécifiée, contact subséquent
T71.9XXS	asphyxie due à une cause non spécifiée, séquelle
T73.0XXA	famine, contact initial
T73.0XXD	famine, contact subséquent
T73.0XXS	famine, séquelle
T73.1XXA	privation d'eau, contact initial
T73.1XXD	privation d'eau, contact subséquent
T73.1XXS	privation d'eau, séquelle
T73.2XXA	épuisement dû à une exposition, contact initial
T73.2XXD	épuisement dû à une exposition, contact subséquent
T73.2XXS	épuisement dû à une exposition, séquelle
T73.3XXA	épuisement dû à un effort excessif, contact initial
T73.3XXD	épuisement dû à un effort excessif, contact subséquent
T73.3XXS	épuisement dû à un effort excessif, séquelle
T73.8XXA	d'autres effets de privation, contact initial
T73.8XXD	d'autres effets de privation, contact subséquent
T73.8XXS	d'autres effets de privation, séquelle
T73.9XXA	effet de privation, non spécifié, contact initial
T73.9XXD	effet de privation, non spécifié, contact subséquent
T73.9XXS	effet de privation, non spécifié, séquelle
T74.01XA	délaissement et abandon d'un adulte, confirmés, contact initial
T74.01XD	délaissement et abandon d'un adulte, confirmés, contact subséquent
T74.01XS	délaissement et abandon d'un adulte, confirmés, séquelle
T74.02XA	délaissement et abandon d'un enfant, confirmés, contact initial
T74.02XD	délaissement et abandon d'un enfant, confirmés, contact subséquent
T74.02XS	délaissement et abandon d'un enfant, confirmés, séquelle
T74.11XA	sévice physique d'un adulte, confirmé, contact initial
T74.11XD	sévice physique d'un adulte, confirmé, contact subséquent
T74.11XS	sévice physique d'un adulte, confirmé, séquelle
T74.12XA	sévice physique d'un enfant, confirmé, contact initial
T74.12XD	sévice physique d'un enfant, confirmé, contact subséquent
T74.12XS	sévice physique d'un enfant, confirmé, séquelle
T74.21XA	sévice sexuel d'un adulte, confirmé, contact initial
T74.21XD	sévice sexuel d'un adulte, confirmé, contact subséquent
T74.21XS	sévice sexuel d'un adulte, confirmé, séquelle
T74.22XA	sévice sexuel d'un enfant, confirmé, contact initial
T74.22XD	sévice sexuel d'un enfant, confirmé, contact subséquent
T74.22XS	sévice sexuel d'un enfant, confirmé, séquelle
T74.31XA	sévice psychologique d'un adulte, confirmé, contact initial
T74.31XD	sévice psychologique d'un adulte, confirmé, contact subséquent
T74.31XS	sévice psychologique d'un adulte, confirmé, séquelle
T74.32XA	sévice psychologique d'un enfant, confirmé, contact initial
T74.32XD	sévice psychologique d'un enfant, confirmé, contact subséquent
T74.32XS	sévice psychologique d'un enfant, confirmé, séquelle
T74.4XXA	syndrome de l'enfant secoué, contact initial
T74.4XXD	syndrome de l'enfant secoué, contact subséquent
T74.4XXS	syndrome de l'enfant secoué, séquelle
T74.91XA	mauvais traitement non spécifié d'un adulte, confirmé, contact initial
T74.91XD	mauvais traitement non spécifié d'un adulte, confirmé, contact subséquent
T74.91XS	mauvais traitement non spécifié d'un adulte, confirmé, séquelle
T74.92XA	mauvais traitement non spécifié d'un enfant, confirmé, contact initial
T74.92XD	mauvais traitement non spécifié d'un enfant, confirmé, contact subséquent
T74.92XS	mauvais traitement non spécifié d'un enfant, confirmé, séquelle
T75.00XA	effets non spécifiés de la foudre, contact initial
T75.00XD	effets non spécifiés de la foudre, contact subséquent
T75.00XS	effets non spécifiés de la foudre, séquelle
T75.01XA	choc par un coup du foudre, contact initial
T75.01XD	choc par un coup du foudre, contact subséquent
T75.01XS	choc par un coup du foudre, séquelle
T75.09XA	d'autres effets de la foudre, contact initial
T75.09XD	d'autres effets de la foudre, contact subséquent
T75.09XS	d'autres effets de la foudre, séquelle
T75.1XXA	effets non spécifiés d'une noyade et submersion non mortelle, contact initial
T75.1XXD	effets non spécifiés d'une noyade et submersion non mortelle, contact subséquent
T75.1XXS	effets non spécifiés d'une noyade et submersion non mortelle, séquelle
T75.29XD	d'autres effets d'une vibration, contact subséquent
T75.29XS	d'autres effets d'une vibration, séquelle
T75.3XXA	mal des transports, contact initial
T75.3XXD	mal des transports, contact subséquent
T75.3XXS	mal des transports, séquelle
T75.4XXA	électrocution, contact initial
T75.4XXD	électrocution, contact subséquent
T75.4XXS	électrocution, séquelle
T75.81XA	effets de forces de gravité [G] anormales, contact initial
T75.81XD	effets de forces de gravité [G] anormales, contact subséquent
T75.81XS	effets de forces de gravité [G] anormales, séquelle
T75.82XA	effets de l'apesanteur, contact initial
T75.82XD	effets de l'apesanteur, contact subséquent
T75.82XS	effets de l'apesanteur, séquelle
T79.6XXD	ischémie traumatique d'un muscle, contact subséquent
T79.6XXS	ischémie traumatique d'un muscle, séquelle
T79.7XXA	emphysème sous-cutané d'origine traumatique, contact initial
T79.7XXD	emphysème sous-cutané d'origine traumatique, contact subséquent
T79.7XXS	emphysème sous-cutané d'origine traumatique, séquelle
T79.8XXA	d'autres complications précoces d'un traumatisme, contact initial
T79.8XXD	d'autres complications précoces d'un traumatisme, contact subséquent
T80.A10S	réaction aiguë hémolytique sur la transfusion sans incompatibilité ABO, séquelle
T80.A11A	réaction retardée hémolytique sur la transfusion sans incompatibilité ABO, contact initial
T80.A11D	réaction retardée hémolytique sur la transfusion sans incompatibilité ABO, contact subséquent
T80.A11S	réaction retardée hémolytique sur la transfusion sans incompatibilité ABO, séquelle
T80.A19A	réaction hémolytique sur la transfusion sans incompatibilité ABO, non spécifiée, contact initial
T80.A19D	réaction hémolytique sur la transfusion sans incompatibilité ABO, non spécifiée, contact subséquent
T80.A19S	réaction hémolytique sur la transfusion sans incompatibilité ABO, non spécifiée, séquelle
T80.A9XA	autre réaction due à une transfusion de sang ou de produits sanguins sans incompatibilité ABO, contact initial
T80.A9XD	autre réaction due à une transfusion de sang ou de produits sanguins sans incompatibilité ABO, contact subséquent
T80.A9XS	autre réaction due à une transfusion de sang ou de produits sanguins sans incompatibilité ABO, séquelle
T81.525D	obstruction due à un corps étranger laissé accidentellement dans le corps suite à un cathétérisme cardiaque, contact subséquent
T81.525S	obstruction due à un corps étranger laissé accidentellement dans le corps suite à un cathétérisme cardiaque, séquelle
T81.526A	obstruction due à un corps étranger laissé accidentellement dans le corps suite à une aspiration, une ponction ou un autre cathétérisme, contact initial
T81.526D	obstruction due à un corps étranger laissé accidentellement dans le corps suite à une aspiration, une ponction ou un autre cathétérisme, contact subséquent
T81.89XD	d'autres complications d'une procédure, non classées ailleurs, contact subséquent
T81.89XS	d'autres complications d'une procédure, non classées ailleurs, séquelle
T81.9XXA	complication non spécifiée d'une procédure, non classées ailleurs, contact initial
T81.9XXD	complication non spécifiée d'une procédure, non classées ailleurs, contact subséquent
T81.9XXS	complication non spécifiée d'une procédure, non classées ailleurs, séquelle
T82.01XA	défaillance mécanique d'une prothèse valvulaire cardiaque, contact initial
T82.01XD	défaillance mécanique d'une prothèse valvulaire cardiaque, contact subséquent
T82.01XS	défaillance mécanique d'une prothèse valvulaire cardiaque, séquelle
T82.02XA	déplacement d'une prothèse valvulaire cardiaque, contact initial
T82.02XD	déplacement d'une prothèse valvulaire cardiaque, contact subséquent
T82.02XS	déplacement d'une prothèse valvulaire cardiaque, séquelle
T82.03XA	fuite d'une prothèse valvulaire cardiaque, contact initial
T82.03XD	fuite d'une prothèse valvulaire cardiaque, contact subséquent
T75.89XA	d'autres effets spécifiés de causes externes, contact initial
T75.89XD	d'autres effets spécifiés de causes externes, contact subséquent
T75.89XS	d'autres effets spécifiés de causes externes, séquelle
T76.01XA	délaissement et abandon d'un adulte, soupçonné, contact initial
T76.01XD	délaissement et abandon d'un adulte, soupçonné, contact subséquent
T76.01XS	délaissement et abandon d'un adulte, soupçonné, séquelle
T76.02XA	délaissement et abandon d'un enfant, soupçonné, contact initial
T76.02XD	délaissement et abandon d'un enfant, soupçonné, contact subséquent
T76.02XS	délaissement et abandon d'un enfant, soupçonné, séquelle
T76.11XA	sévice physique d'un adulte, soupçonné, contact initial
T76.11XD	sévice physique d'un adulte, soupçonné, contact subséquent
T76.11XS	sévice physique d'un adulte, soupçonné, séquelle
T76.12XA	sévice physique d'un enfant, soupçonné, contact initial
T76.12XD	sévice physique d'un enfant, soupçonné, contact subséquent
T76.12XS	sévice physique d'un enfant, soupçonné, séquelle
T76.21XA	sévice sexuel d'un adulte, soupçonné, contact initial
T76.21XD	sévice sexuel d'un adulte, soupçonné, contact subséquent
T76.21XS	sévice sexuel d'un adulte, soupçonné, séquelle
T76.22XA	sévice sexuel d'un enfant, soupçonné, contact initial
T76.22XD	sévice sexuel d'un enfant, soupçonné, contact subséquent
T76.22XS	sévice sexuel d'un enfant, soupçonné, séquelle
T76.31XA	sévice psychologique d'un adulte, soupçonné, contact initial
T76.31XD	sévice psychologique d'un adulte, soupçonné, contact subséquent
T76.31XS	sévice psychologique d'un adulte, soupçonné, séquelle
T76.32XA	sévice psychologique d'un enfant, soupçonné, contact initial
T76.32XD	sévice psychologique d'un enfant, soupçonné, contact subséquent
T76.32XS	sévice psychologique d'un enfant, soupçonné, séquelle
T76.91XA	mauvais traitement non spécifié d'un adulte, soupçonné, contact initial
T76.91XD	mauvais traitement non spécifié d'un adulte, soupçonné, contact subséquent
T76.91XS	mauvais traitement non spécifié d'un adulte, soupçonné, séquelle
T76.92XA	mauvais traitement non spécifié d'un enfant, soupçonné, contact initial
T76.92XD	mauvais traitement non spécifié d'un enfant, soupçonné, contact subséquent
T76.92XS	mauvais traitement non spécifié d'un enfant, soupçonné, séquelle
T78.00XA	réaction anaphylactique dû à un aliment non spécifié, contact initial
T78.00XD	réaction anaphylactique dû à un aliment non spécifié, contact subséquent
T78.00XS	réaction anaphylactique dû à un aliment non spécifié, séquelle
T78.01XA	réaction anaphylactique dû à des arachides, contact initial
T78.01XD	réaction anaphylactique dû à des arachides, contact subséquent
T78.01XS	réaction anaphylactique dû à des arachides, séquelle
T78.02XA	réaction anaphylactique dû à des coquillages (crustacés), contact initial
T78.02XD	réaction anaphylactique dû à des coquillages (crustacés), contact subséquent
T78.02XS	réaction anaphylactique dû à des coquillages (crustacés), séquelle
T78.03XA	réaction anaphylactique dû à d'autres poissons, contact initial
T78.03XD	réaction anaphylactique dû à d'autres poissons, contact subséquent
T78.03XS	réaction anaphylactique dû à d'autres poissons, séquelle
T78.04XA	réaction anaphylactique dû à des fruits et légumes, contact initial
T78.04XD	réaction anaphylactique dû à des fruits et légumes, contact subséquent
T78.04XS	réaction anaphylactique dû à des fruits et légumes, séquelle
T78.05XA	réaction anaphylactique dû à des noix et graines provenant d'arbres, contact initial
T78.05XD	réaction anaphylactique dû à des noix et graines provenant d'arbres, contact subséquent
T78.05XS	réaction anaphylactique dû à des noix et graines provenant d'arbres, séquelle
T78.06XA	réaction anaphylactique dû aux additifs alimentaires, contact initial
T78.06XD	réaction anaphylactique dû aux additifs alimentaires, contact subséquent
T78.06XS	réaction anaphylactique dû aux additifs alimentaires, séquelle
T78.07XA	réaction anaphylactique dû au lait et produits laitiers, contact initial
T78.07XD	réaction anaphylactique dû au lait et produits laitiers, contact subséquent
T78.07XS	réaction anaphylactique dû au lait et produits laitiers, séquelle
T78.08XA	réaction anaphylactique dû à des oufs, contact initial
T78.08XD	réaction anaphylactique dû à des oufs, contact subséquent
T78.08XS	réaction anaphylactique dû à des oufs, séquelle
T78.09XA	réaction anaphylactique dû à d'autres produits alimentaires, contact initial
T78.09XD	réaction anaphylactique dû à d'autres produits alimentaires, contact subséquent
T78.09XS	réaction anaphylactique dû à d'autres produits alimentaires, séquelle
T78.1XXA	d'autres réactions secondaires alimentaires, non classées ailleurs, contact initial
T78.1XXD	d'autres réactions secondaires alimentaires, non classées ailleurs, contact subséquent
T78.1XXS	d'autres réactions secondaires alimentaires, non classées ailleurs, séquelle
T78.2XXA	choc anaphylactique, non spécifié contact initial
T78.2XXD	choc anaphylactique, non spécifié contact subséquent
T78.2XXS	choc anaphylactique, non spécifié séquelle
T78.3XXA	oedème angioneurotique, contact initial
T78.3XXD	oedème angioneurotique, contact subséquent
T78.3XXS	oedème angioneurotique, séquelle
T78.40XA	allergie, non spécifiée, contact initial
T78.40XD	allergie, non spécifiée, contact subséquent
T78.40XS	allergie, non spécifiée, séquelle
T78.41XA	phénomène d'Arthus, contact initial
T78.41XD	phénomène d'Arthus, contact subséquent
T78.41XS	phénomène d'Arthus, séquelle
T78.49XA	autre allergie, contact initial
T78.49XD	autre allergie, contact subséquent
T78.49XS	autre allergie, séquelle
T78.8XXA	d'autres réactions secondaires, non classées ailleurs, contact initial
T78.8XXD	d'autres réactions secondaires, non classées ailleurs, contact subséquent
T78.8XXS	d'autres réactions secondaires, non classées ailleurs, séquelle
T79.0XXA	embolie gazeuse (traumatique), contact initial
T79.0XXD	embolie gazeuse (traumatique), contact subséquent
T79.0XXS	embolie gazeuse (traumatique), séquelle
T79.1XXA	embolie graisseuse (traumatique), contact initial
T79.1XXD	embolie graisseuse (traumatique), contact subséquent
T79.1XXS	embolie graisseuse (traumatique), séquelle
T79.2XXA	hémorragie traumatique secondaire et récidivante et un lymphocèle (sérome), contact initial
T79.2XXD	hémorragie traumatique secondaire et récidivante et un lymphocèle (sérome), contact subséquent
T79.2XXS	hémorragie traumatique secondaire et récidivante et un lymphocèle (sérome), séquelle
T79.4XXA	choc traumatique, contact initial
T79.4XXD	choc traumatique, contact subséquent
T79.4XXS	choc traumatique, séquelle
T79.5XXA	anurie traumatique, contact initial
T79.5XXD	anurie traumatique, contact subséquent
T79.5XXS	anurie traumatique, séquelle
T79.6XXA	ischémie traumatique d'un muscle, contact initial
T79.8XXS	d'autres complications précoces d'un traumatisme, séquelle
T79.9XXA	complication précoce d'une trauma non spécifiée, contact initial
T79.9XXD	complication précoce d'une trauma non spécifiée, contact subséquent
T79.9XXS	complication précoce d'une trauma non spécifiée, séquelle
T79.A0XA	syndrome de loge traumatique, non spécifié contact initial
T79.A0XD	syndrome de loge traumatique, non spécifié contact subséquent
T79.A0XS	syndrome de loge traumatique, non spécifié séquelle
T79.A11A	syndrome de loge traumatique de l'extrémité supérieure droite, contact initial
T79.A11D	syndrome de loge traumatique de l'extrémité supérieure droite, contact subséquent
T79.A11S	syndrome de loge traumatique de l'extrémité supérieure droite, séquelle
T79.A12A	syndrome de loge traumatique de l'extrémité supérieure gauche, contact initial
T79.A12D	syndrome de loge traumatique de l'extrémité supérieure gauche, contact subséquent
T79.A12S	syndrome de loge traumatique de l'extrémité supérieure gauche, séquelle
T79.A19A	syndrome de loge traumatique de l'extrémité supérieure non spécifiée, contact initial
T79.A19D	syndrome de loge traumatique de l'extrémité supérieure non spécifiée, contact subséquent
T79.A19S	syndrome de loge traumatique de l'extrémité supérieure non spécifiée, séquelle
T79.A21A	syndrome de loge traumatique de l'extrémité inférieure droite, contact initial
T79.A21D	syndrome de loge traumatique de l'extrémité inférieure droite, contact subséquent
T79.A21S	syndrome de loge traumatique de l'extrémité inférieure droite, séquelle
T79.A22A	syndrome de loge traumatique de l'extrémité inférieure gauche, contact initial
T79.A22D	syndrome de loge traumatique de l'extrémité inférieure gauche, contact subséquent
T79.A22S	syndrome de loge traumatique de l'extrémité inférieure gauche, séquelle
T79.A29A	syndrome de loge traumatique de l'extrémité inférieure non spécifiée, contact initial
T79.A29D	syndrome de loge traumatique de l'extrémité inférieure non spécifiée, contact subséquent
T79.A29S	syndrome de loge traumatique de l'extrémité inférieure non spécifiée, séquelle
T79.A3XA	syndrome de loge traumatique de l'abdomen, contact initial
T79.A3XD	syndrome de loge traumatique de l'abdomen, contact subséquent
T79.A3XS	syndrome de loge traumatique de l'abdomen, séquelle
T79.A9XA	syndrome de loge traumatique d'autres sites, contact initial
T79.A9XD	syndrome de loge traumatique d'autres sites, contact subséquent
T79.A9XS	syndrome de loge traumatique d'autres sites, séquelle
T80.0XXA	embolie gazeuse suite à une perfusion, transfusion et une injection thérapeutique, contact initial
T80.0XXD	embolie gazeuse suite à une perfusion, transfusion et une injection thérapeutique, contact subséquent
T80.0XXS	embolie gazeuse suite à une perfusion, transfusion et une injection thérapeutique, séquelle
T80.1XXA	complications vasculaires suite à une perfusion, transfusion et une injection thérapeutique, contact initial
T80.1XXD	complications vasculaires suite à une perfusion, transfusion et une injection thérapeutique, contact subséquent
T80.1XXS	complications vasculaires suite à une perfusion, transfusion et une injection thérapeutique, séquelle
T80.211A	infection du sang due à cathéter veineux central, contact initial
T80.211D	infection du sang due à cathéter veineux central, contact subséquent
T80.211S	infection du sang due à cathéter veineux central, séquelle
T80.212A	infection locale due à cathéter veineux central, contact initial
T80.212D	infection locale due à cathéter veineux central, contact subséquent
T80.212S	infection locale due à cathéter veineux central, séquelle
T80.218A	autre infection due à cathéter veineux central, contact initial
T80.218D	autre infection due à cathéter veineux central, contact subséquent
T80.218S	autre infection due à cathéter veineux central, séquelle
T80.219A	infection non spécifiée due à cathéter veineux central, contact initial
T80.219D	infection non spécifiée due à cathéter veineux central, contact subséquent
T80.219S	infection non spécifiée due à cathéter veineux central, séquelle
T80.22XA	infection aiguë après transfusion, infusion, injection de sang et produits sanguins, contact initial
T80.22XD	infection aiguë après transfusion, infusion, injection de sang et produits sanguins, contact subséquent
T80.22XS	infection aiguë après transfusion, infusion, injection de sang et produits sanguins, séquelle
T80.29XA	infection suite à une autre perfusion, transfusion et une injection thérapeutique, contact initial
T80.29XD	infection suite à une autre perfusion, transfusion et une injection thérapeutique, contact subséquent
T80.29XS	infection suite à une autre perfusion, transfusion et une injection thérapeutique, séquelle
T80.30XA	réaction d'incompatibilité ABO due à une transfusion de sang ou de produits sanguins, non spécifiée, contact initial
T80.30XD	réaction d'incompatibilité ABO due à une transfusion de sang ou de produits sanguins, non spécifiée, contact subséquent
T80.30XS	réaction d'incompatibilité ABO due à une transfusion de sang ou de produits sanguins, non spécifiée, séquelle
T80.310A	réaction d'incompatibilité ABO avec une réaction aiguë hémolytique sur la transfusion, contact initial
T80.310D	réaction d'incompatibilité ABO avec une réaction aiguë hémolytique sur la transfusion, contact subséquent
T80.310S	réaction d'incompatibilité ABO avec une réaction aiguë hémolytique sur la transfusion, séquelle
T80.311A	réaction d'incompatibilité ABO avec une réaction retardée hémolytique sur la transfusion, contact initial
T80.311D	réaction d'incompatibilité ABO avec une réaction retardée hémolytique sur la transfusion, contact subséquent
T80.311S	réaction d'incompatibilité ABO avec une réaction retardée hémolytique sur la transfusion, séquelle
T80.319A	réaction d'incompatibilité ABO avec une réaction hémolytique sur la transfusion, non spécifiée, contact initial
T80.319D	réaction d'incompatibilité ABO avec une réaction hémolytique sur la transfusion, non spécifiée, contact subséquent
T80.319S	réaction d'incompatibilité ABO avec une réaction hémolytique sur la transfusion, non spécifiée, séquelle
T80.39XA	autre réaction d'incompatibilité ABO due à une transfusion de sang ou de produits sanguins, contact initial
T80.39XD	autre réaction d'incompatibilité ABO due à une transfusion de sang ou de produits sanguins, contact subséquent
T80.39XS	autre réaction d'incompatibilité ABO due à une transfusion de sang ou de produits sanguins, séquelle
T80.40XA	réaction d'incompatibilité Rh due à une transfusion de sang ou de produits sanguins, non spécifiée, contact initial
T80.40XD	réaction d'incompatibilité Rh due à une transfusion de sang ou de produits sanguins, non spécifiée, contact subséquent
T80.40XS	réaction d'incompatibilité Rh due à une transfusion de sang ou de produits sanguins, non spécifiée, séquelle
T80.410A	réaction d'incompatibilité Rh avec une réaction aiguë hémolytique sur la transfusion, contact initial
T80.410D	réaction d'incompatibilité Rh avec une réaction aiguë hémolytique sur la transfusion, contact subséquent
T80.410S	réaction d'incompatibilité Rh avec une réaction aiguë hémolytique sur la transfusion, séquelle
T80.411A	réaction d'incompatibilité Rh avec une réaction retardée hémolytique sur la transfusion, contact initial
T80.411D	réaction d'incompatibilité Rh avec une réaction retardée hémolytique sur la transfusion, contact subséquent
